cuenta;descripcion;cuentaesp
1;ACTIVO;
11;DISPONIBLE;
1105;CAJA;
110505;CAJA GENERAL;
110510;CAJAS MENORES;
110515;MONEDA EXTRANJERA;
1110;BANCOS;
111005;MONEDA NACIONAL;
111010;MONEDA EXTRANJERA;
1115;REMESAS EN TRANSITO;
111505;MONEDA NACIONAL;
111510;MONEDA EXTRANJERA;
1120;CUENTAS DE AHORRO;
112005;BANCOS;
112010;CORPORACIONES DE AHORRO Y VIVIENDA;
112015;ORGANISMOS COOPERATIVOS FINANCIEROS;
1125;FONDOS;
112505;ROTATORIOS MONEDA NACIONAL;
112510;ROTATORIOS MONEDA EXTRANJERA;
112515;ESPECIALES MONEDA NACIONAL;
112520;ESPECIALES MONEDA EXTRANJERA;
112525;DE AMORTIZACION MONEDA NACIONAL;
112530;DE AMORTIZACION MONEDA EXTRANJERA;
12;INVERSIONES;
1205;ACCIONES;
120505;AGRICULTURA, GANADERIA, CAZA Y SILVICULTURA;
120510;PESCA;
120515;EXPLOTACION DE MINAS Y CANTERAS;
120520;INDUSTRIA MANUFACTURERA;
120525;SUMINISTRO DE ELECTRICIDAD, GAS Y AGUA;
120530;CONSTRUCCION;
120535;COMERCIO AL POR MAYOR Y AL POR MENOR;
120540;HOTELES Y RESTAURANTES;
120545;TRANSPORTE, ALMACENAMIENTO Y COMUNICACIONES;
120550;ACTIVIDAD FINANCIERA;
120555;ACTIVIDADES INMOBILIARIAS, EMPRESARIALES Y DE ALQUILER;
120560;ENSEÑANZA;
120565;SERVICIOS SOCIALES Y DE SALUD;
120570;OTRAS ACTIVIDADES DE SERVICIOS COMUNITARIOS, SOCIALES;
120599;AJUSTES POR INFLACION;
1210;CUOTAS O PARTES DE INTERES SOCIAL;
121005;AGRICULTURA, GANADERIA, CAZA Y SILVICULTURA;
121010;PESCA;
121015;EXPLOTACION DE MINAS Y CANTERAS;
121020;INDUSTRIA MANUFACTURERA;
121025;SUMINISTRO DE ELECTRICIDAD, GAS Y AGUA;
121030;CONSTRUCCION;
121035;COMERCIO AL POR MAYOR Y AL POR MENOR;
121040;HOTELES Y RESTAURANTES;
121045;TRANSPORTE, ALMACENAMIENTO Y COMUNICACIONES;
121050;ACTIVIDAD FINANCIERA;
121055;ACTIVIDADES INMOBILIARIAS, EMPRESARIALES Y DE ALQUILER;
121060;ENSEÑANZA;
121065;SERVICIOS SOCIALES Y DE SALUD;
121070;OTRAS ACTIVIDADES DE SERVICIOS COMUNITARIOS, SOCIALES Y PERSONALES;
121099;AJUSTES POR INFLACION;
1215;BONOS;
121505;BONOS PUBLICOS MONEDA NACIONAL;
121510;BONOS PUBLICOS MONEDA EXTRANJERA;
121515;BONOS ORDINARIOS;
121520;BONOS CONVERTIBLES EN ACCIONES;
121595;OTROS;
1220;CEDULAS;
122005;CEDULAS DE CAPITALIZACION;
122010;CEDULAS HIPOTECARIAS;
122015;CEDULAS DE INVERSION;
122095;OTRAS;
1225;CERTIFICADOS;
122505;CERTIFICADOS DE DEPOSITO A TERMINO (C.D.T.);
122510;CERTIFICADOS DE DEPOSITO DE AHORRO;
122515;CERTIFICADOS DE AHORRO DE VALOR CONSTANTE (C.A.V.C.);
122520;CERTIFICADOS DE CAMBIO;
122525;CERTIFICADOS CAFETEROS VALORIZABLES;
122530;CERTIFICADOS ELECTRICOS VALORIZABLES (C.E.V.);
122535;CERTIFICADOS DE REEMBOLSO TRIBUTARIO (C.E.R.T.);
122540;CERTIFICADOS DE DESARROLLO TURISTICO;
122545;CERTIFICADOS DE INVERSION FORESTAL (C.I.F.);
122595;OTROS;
1230;PAPELES COMERCIALES;
123005;EMPRESAS COMERCIALES;
123010;EMPRESAS INDUSTRIALES;
123015;EMPRESAS DE SERVICIOS;
1235;TITULOS;
123505;TITULOS DE DESARROLLO AGROPECUARIO;
123510;TITULOS CANJEABLES POR CERTIFICADOS DE CAMBIO;
123515;TITULOS DE TESORERIA (T.E.S.);
123520;TITULOS DE PARTICIPACION;
123525;TITULOS DE CREDITO DE FOMENTO;
123530;TITULOS FINANCIEROS AGROINDUSTRIALES (T.F.A.);
123535;TITULOS DE AHORRO CAFETERO (T.A.C.);
123540;TITULOS DE AHORRO NACIONAL (T.A.N.);
123545;TITULOS ENERGETICOS DE RENTABILIDAD CRECIENTE (T.E.R.);
123550;TITULOS DE AHORRO EDUCATIVO (T.A.E.);
123555;TITULOS FINANCIEROS  INDUSTRIALES Y COMERCIALES;
123560;TESOROS;
123565;TITULOS DE DEVOLUCION DE IMPUESTOS NACIONALES (TIDIS);
123570;TITULOS INMOBILIARIOS;
123595;OTROS;
1240;ACEPTACIONES BANCARIAS O FINANCIERAS;
124005;BANCOS COMERCIALES;
124010;COMPAÑIAS DE FINANCIAMIENTO COMERCIAL;
124015;CORPORACIONES FINANCIERAS;
124095;OTRAS;
1245;DERECHOS FIDUCIARIOS;
124505;FIDEICOMISOS DE INVERSION MONEDA NACIONAL;
124510;FIDEICOMISOS DE INVERSION MONEDA EXTRANJERA;
1250;DERECHOS DE RECOMPRA DE INVERSIONES NEGOCIADAS (REPOS);
125005;ACCIONES;
125010;CUOTAS O PARTES DE INTERES SOCIAL;
125015;BONOS;
125020;CEDULAS;
125025;CERTIFICADOS;
125030;PAPELES COMERCIALES;
125035;TITULOS;
125040;ACEPTACIONES BANCARIAS O FINANCIERAS;
125095;OTROS;
125099;AJUSTES POR INFLACION;
1255;OBLIGATORIAS;
125505;BONOS DE FINANCIAMIENTO ESPECIAL;
125510;BONOS DE FINANCIAMIENTO PRESUPUESTAL;
125515;BONOS PARA DESARROLLO SOCIAL Y SEGURIDAD INTERNA (B.D.S.I.);
125595;OTRAS;
1260;CUENTAS EN PARTICIPACION;
126099;AJUSTES POR INFLACION;
1295;OTRAS INVERSIONES;
129505;APORTES EN COOPERATIVAS;
129510;DERECHOS EN CLUBES SOCIALES;
129515;ACCIONES O DERECHOS EN CLUBES DEPORTIVOS;
129520;BONOS EN COLEGIOS;
129595;DIVERSAS;
129599;AJUSTES POR INFLACION;
1299;PROVISIONES;
129905;ACCIONES;
129910;CUOTAS O PARTES DE INTERES SOCIAL;
129915;BONOS;
129920;CEDULAS;
129925;CERTIFICADOS;
129930;PAPELES COMERCIALES;
129935;TITULOS;
129940;ACEPTACIONES BANCARIAS O FINANCIERAS;
129945;DERECHOS FIDUCIARIOS;
129950;DERECHOS DE RECOMPRA DE INVERSIONES NEGOCIADAS;
129955;OBLIGATORIAS;
129960;CUENTAS EN PARTICIPACION;
129995;OTRAS INVERSIONES;
13;DEUDORES;
1305;CLIENTES;
130505;NACIONALES;CLIENT
130510;DEL EXTERIOR;
130515;DEUDORES DEL SISTEMA;
1310;CUENTAS CORRIENTES COMERCIALES;
131005;CASA MATRIZ;
131010;COMPAÑIAS VINCULADAS;
131015;ACCIONISTAS O SOCIOS;
131020;PARTICULARES;
131095;OTRAS;
1315;CUENTAS POR COBRAR A CASA MATRIZ;
131505;VENTAS;
131510;PAGOS A NOMBRE DE CASA MATRIZ;
131515;VALORES RECIBIDOS POR CASA MATRIZ;
131520;PRESTAMOS;
1320;CUENTAS POR COBRAR A VINCULADOS ECONOMICOS;
132005;FILIALES;
132010;SUBSIDIARIAS;
132015;SUCURSALES;
1325;CUENTAS POR COBRAR A SOCIOS Y ACCIONISTAS;
132505;A SOCIOS;
132510;A ACCIONISTAS;
1328;APORTES POR COBRAR;
1330;ANTICIPOS Y AVANCES;
133005;A PROVEEDORES;
133010;A CONTRATISTAS;
133015;A TRABAJADORES;
133020;A AGENTES;
133025;A CONCESIONARIOS;
133030;DE ADJUDICACIONES;
133095;OTROS;
1332;CUENTAS DE OPERACION CONJUNTA;
1335;DEPOSITOS;
133505;PARA IMPORTACIONES;
133510;PARA SERVICIOS;
133515;PARA CONTRATOS;
133520;PARA RESPONSABILIDADES;
133525;PARA JUICIOS EJECUTIVOS;
133530;PARA ADQUISICION DE ACCIONES, CUOTAS O DERECHOS;
133535;EN GARANTIA;
133595;OTROS;
1340;PROMESAS DE COMPRA VENTA;
134005;DE BIENES RAICES;
134010;DE MAQUINARIA Y EQUIPO;
134015;DE FLOTA Y EQUIPO DE TRANSPORTE;
134020;DE FLOTA Y EQUIPO AEREO;
134025;DE FLOTA Y EQUIPO FERREO;
134030;DE FLOTA Y EQUIPO FLUVIAL Y/O MARITIMO;
134035;DE SEMOVIENTES;
134095;DE OTROS BIENES;
1345;INGRESOS POR COBRAR;
134505;DIVIDENDOS Y/O PARTICIPACIONES;
134510;INTERESES;
134515;COMISIONES;
134520;HONORARIOS;
134525;SERVICIOS;
134530;ARRENDAMIENTOS;
134535;CERT POR COBRAR;
134595;OTROS;
1350;RETENCION SOBRE CONTRATOS;
135005;DE CONSTRUCCION;
135010;DE PRESTACION DE SERVICIOS;
135095;OTROS;
1355;ANTICIPO DE IMPUESTOS Y CONTRIBUCIONES O SALDOS A FAVOR;
135505;ANTICIPO DE IMPUESTOS DE RENTA Y COMPLEMENTARIOS;
135510;ANTICIPO DE IMPUESTOS DE INDUSTRIA Y COMERCIO;
135515;RETENCION EN LA FUENTE;
135520;SOBRANTES EN LIQUIDACION PRIVADA DE IMPUESTOS;
135525;CONTRIBUCIONES;
135530;IMPUESTOS DESCONTABLES;
135595;OTROS;
1360;RECLAMACIONES;
136005;A COMPAÑIAS ASEGURADORAS;
136010;A TRANSPORTADORES;
136015;POR TIQUETES AEREOS;
136095;OTRAS;
1365;CUENTAS POR COBRAR A TRABAJADORES;
136505;VIVIENDA;
136510;VEHICULOS;
136515;EDUCACION;
136520;MEDICOS, ODONTOLOGICOS Y SIMILARES;
136525;CALAMIDAD DOMESTICA;
136530;RESPONSABILIDADES;
136595;OTROS;
1370;PRESTAMOS A PARTICULARES;
137005;CON GARANTIA REAL;
137010;CON GARANTIA PERSONAL;
1380;DEUDORES VARIOS;
138005;DEPOSITARIOS;
138010;COMISIONISTAS DE BOLSAS;
138015;FONDO DE INVERSION;
138020;CUENTAS POR COBRAR DE TERCEROS;
138025;PAGOS POR CUENTA DE TERCEROS;
138030;FONDOS DE INVERSION SOCIAL;
138095;OTROS;
1385;DERECHOS DE RECOMPRA DE CARTERA NEGOCIADA;
1390;DEUDAS DE DIFICIL COBRO;
1399;PROVISIONES;
139905;CLIENTES;
139910;CUENTAS CORRIENTES COMERCIALES;
139915;CUENTAS POR COBRAR A CASA MATRIZ;
139920;CUENTAS POR COBRAR A VINCULADOS ECONOMICOS;
139925;CUENTAS POR COBRAR A SOCIOS Y ACCIONISTAS;
139930;ANTICIPOS Y AVANCES;
139932;CUENTAS DE OPERACION CONJUNTA;
139935;DEPOSITOS;
139940;PROMESAS DE COMPRAVENTA;
139945;INGRESOS POR COBRAR;
139950;RETENCION SOBRE CONTRATOS;
139955;RECLAMACIONES;
139960;CUENTAS POR COBRAR A TRABAJADORES;
139965;PRESTAMOS A PARTICULARES;
139975;DEUDORES VARIOS;
139980;DERECHOS DE RECOMPRA DE CARTERA NEGOCIADA;
14;INVENTARIOS;
1405;MATERIAS PRIMAS;
140599;AJUSTES POR INFLACION;
1410;PRODUCTOS EN PROCESO;
141099;AJUSTES POR INFLACION;
1415;OBRAS DE CONSTRUCCION EN CURSO;
141599;AJUSTES POR INFLACION;
1417;OBRAS DE URBANISMO;
141799;AJUSTES POR INFLACION;
1420;CONTRATOS EN EJECUCION;
142099;AJUSTES POR INFLACION;
1425;CULTIVOS EN DESARROLLO;
142599;AJUSTES POR INFLACION;
1430;PRODUCTOS TERMINADOS;
143005;PRODUCTOS MANUFACTURADOS;
143010;PRODUCTOS EXTRAIDOS Y/O PROCESADOS;
143015;PRODUCTOS AGRICOLAS Y FORESTALES;
143020;SUBPRODUCTOS;
143025;PRODUCTOS DE PESCA;
143099;AJUSTES POR INFLACION;
1435;MERCANCIAS NO FABRICADAS POR LA EMPRESA;
143599;AJUSTES POR INFLACION;
1440;BIENES RAICES PARA LA VENTA;
144099;AJUSTES POR INFLACION;
1445;SEMOVIENTES;
144505;ESPECIES MAYORES;
144510;ESPECIES MENORES;
144599;AJUSTES POR INFLACION;
1450;TERRENOS;
145005;POR URBANIZAR;
145010;URBANIZADOS POR CONSTRUIR;
145099;AJUSTES POR INFLACION;
1455;MATERIALES, REPUESTOS Y ACCESORIOS;
145505;COMBUSTIBLES Y LUBRICANTES;
145510;ABONOS Y FERTILIZANTES;
145515;SEMILLAS TERMINADAS;
145520;FUNGICIDAS Y HERBICIDAS;
145525;MATERIALES Y REPUESTOS;
145530;LOZA Y CRISTALERIA;
145535;HERRAMIENTAS;
145540;MEDICINAS;
145545;ELEMENTOS HOSPITALARIOS;
145550;INSTRUMENTAL QUIRURGICO;
145555;DOTACION Y SUMINISTRO A TRABAJADORES;
145560;ELEMENTOS DE ROPERIA Y LENCERIA;
145595;OTROS;
145599;AJUSTES POR INFLACION;
1460;ENVASES Y EMPAQUES;
146099;AJUSTES POR INFLACION;
1465;INVENTARIOS EN TRANSITO;
146599;AJUSTES POR INFLACION;
1499;PROVISIONES;
149905;PARA OBSOLESCENCIA;
149910;PARA DIFERENCIA DE INVENTARIO FISICO;
149915;PARA PERDIDAS DE INVENTARIOS;
149920;LIFO;
15;PROPIEDADES PLANTA Y EQUIPO;
1504;TERRENOS;
150405;URBANOS;
150410;RURALES;
150499;AJUSTES POR INFLACION;
1506;MATERIALES PROYECTOS PETROLEROS;
150605;TUBERIAS Y EQUIPO;
150610;COSTOS DE IMPORTACION MATERIALES;
150615;PROYECTOS DE CONSTRUCCION;
150699;AJUSTES POR INFLACION;
1508;CONSTRUCCIONES EN CURSO;
150805;CONSTRUCCIONES Y EDIFICACIONES;
150810;ACUEDUCTOS PLANTAS Y REDES;
150815;VIAS DE COMUNICACION;
150820;POZOS ARTESIANOS;
150825;PROYECTOS DE EXPLORACION;
150830;PROYECTOS DE DESARROLLO;
150899;AJUSTES POR INFLACION;
1512;MAQUINARIA Y EQUIPOS EN MONTAJE;
151205;MAQUINARIA Y EQUIPO;
151210;EQUIPO DE OFICINA;
151215;EQUIPO DE COMPUTACION Y COMUNICACION;
151220;EQUIPO MEDICO-CIENTIFICO;
151225;EQUIPO DE HOTELES Y RESTAURANTES;
151230;FLOTA Y EQUIPO DE TRANSPORTE;
151235;FLOTA Y EQUIPO FLUVIAL Y/O MARITIMO;
151240;FLOTA Y EQUIPO AEREO;
151245;FLOTA Y EQUIPO FERREO;
151250;PLANTAS Y REDES;
151299;AJUSTES POR INFLACION;
1516;CONSTRUCCIONES Y EDIFICACIONES;
151605;EDIFICIOS;
151610;OFICINAS;
151615;ALMACENES;
151620;FABRICAS Y PLANTAS INDUSTRIALES;
151625;SALAS DE EXHIBICION Y VENTAS;
151630;CAFETERIA Y CASINOS;
151635;SILOS;
151640;INVERNADEROS;
151645;CASETAS Y CAMPAMENTOS;
151650;INSTALACIONES AGROPECUARIAS;
151655;VIVIENDAS PARA EMPLEADOS Y OBREROS;
151660;TERMINAL DE BUSES Y TAXIS;
151663;TERMINAL MARITIMO;
151665;TERMINAL FERREO;
151670;PARQUEADEROS, GARAJES Y DEPOSITOS;
151675;HANGARES;
151680;BODEGAS;
151695;OTROS;
151699;AJUSTES POR INFLACION;
1520;MAQUINARIA Y EQUIPO;
152099;AJUSTES POR INFLACION;
1524;EQUIPO DE OFICINA;
152405;MUEBLES Y ENSERES;
152410;EQUIPOS;
152495;OTROS;
152499;AJUSTES POR INFLACION;
1528;EQUIPO DE COMPUTACION Y COMUNICACION;
152805;EQUIPOS DE PROCESAMIENTO DE DATOS;
152810;EQUIPOS DE TELECOMUNICACIONES;
152815;EQUIPOS DE RADIO;
152820;SATELITES Y ANTENAS;
152825;LINEAS TELEFONICAS;
152895;OTROS;
152899;AJUSTES POR INFLACION;
1532;EQUIPO MEDICO - CIENTIFICO;
153205;MEDICO;
153210;ODONTOLOGICO;
153215;LABORATORIO;
153220;INSTRUMENTAL;
153295;OTROS;
153299;AJUSTES POR INFLACION;
1536;EQUIPO DE HOTELES Y RESTAURANTES;
153605;DE HABITACIONES;
153610;DE COMESTIBLES Y BEBIDAS;
153695;OTROS;
153699;AJUSTES POR INFLACION;
1540;FLOTA Y EQUIPO DE TRANSPORTE;
154005;AUTOS, CAMIONETAS Y CAMPEROS;
154008;CAMIONES, VOLQUETAS Y FURGONES;
154010;TRACTOMULAS Y REMOLQUES;
154015;BUSES Y BUSETAS;
154017;RECOLECTORES Y CONTENEDORES;
154020;MONTACARGAS;
154025;PALAS Y GRUAS;
154030;MOTOCICLETAS;
154035;BICICLETAS;
154040;ESTIBAS Y CARRETAS;
154045;BANDAS TRANSPORTADORAS;
154095;OTROS;
154099;AJUSTES POR INFLACION;
1544;FLOTA Y EQUIPO FLUVIAL Y/O MARITIMO;
154405;BUQUES;
154410;LANCHAS;
154415;REMOLCADORAS;
154420;BOTES;
154425;BOYAS;
154430;AMARRES;
154435;CONTENEDORES Y CHASSISES;
154440;GABARRAS;
154495;OTROS;
154499;AJUSTES POR INFLACION;
1548;FLOTA Y EQUIPO AEREO;
154805;AVIONES;
154810;AVIONETAS;
154815;HELICOPTEROS;
154820;TURBINAS Y MOTORES;
154825;MANUALES DE ENTRENAMIENTO PERSONAL TECNICO;
154830;EQUIPOS DE VUELO;
154895;OTROS;
154899;AJUSTES POR INFLACION;
1552;FLOTA Y EQUIPO FERREO;
155205;LOCOMOTORAS;
155210;VAGONES;
155215;REDES FERREAS;
155295;OTROS;
155299;AJUSTES POR INFLACION;
1556;ACUEDUCTOS PLANTAS Y REDES;
155605;INSTALACIONES PARA AGUA Y ENERGIA;
155610;ACUEDUCTO ACEQUIAS Y CANALIZACIONES;
155615;PLANTAS DE GENERACION HIDRAULICA;
155620;PLANTAS DE GENERACION TERMICA;
155625;PLANTAS DE GENERACION A GAS;
155628;PLANTAS DE GENERACION DIESEL, GASOLINA Y PETROLEO;
155630;PLANTAS DE DISTRIBUCION;
155635;PLANTAS DE TRANSMISION Y SUBESTACIONES;
155640;OLEODUCTOS;
155645;GASODUCTOS;
155647;POLIDUCTOS;
155650;REDES DE DISTRIBUCION;
155655;PLANTAS DE TRATAMIENTO;
155660;REDES DE RECOLECCION DE AGUAS NEGRAS;
155665;INSTALACIONES Y EQUIPO DE BOMBEO;
155670;REDES DE DISTRIBUCION DE VAPOR;
155675;REDES DE AIRE;
155680;REDES ALIMENTACION DE GAS;
155682;REDES EXTERNAS DE TELEFONIA;
155685;PLANTAS DESHIDRATADORAS;
155695;OTROS;
155699;AJUSTES POR INFLACION;
1560;ARMAMENTO DE VIGILANCIA;
156099;AJUSTES POR INFLACION;
1562;ENVASES Y EMPAQUES;
156299;AJUSTES POR INFLACION;
1564;PLANTACIONES AGRICOLAS Y FORESTALES;
156405;CULTIVOS EN DESARROLLO;
156410;CULTIVOS AMORTIZABLES;
156499;AJUSTES POR INFLACION;
1568;VIAS DE COMUNICACION;
156805;PAVIMENTACION Y PATIOS;
156810;VIAS;
156815;PUENTES;
156820;CALLES;
156825;AERODROMOS;
156895;OTROS;
156899;AJUSTES POR INFLACION;
1572;MINAS Y CANTERAS;
157205;MINAS;
157210;CANTERAS;
157299;AJUSTES POR INFLACION;
1576;POZOS ARTESIANOS;
157699;AJUSTES POR INFLACION;
1580;YACIMIENTOS;
158099;AJUSTES POR INFLACION;
1584;SEMOVIENTES;
158405;ESPECIES MENORES;
158410;ESPECIES MAYORES;
158499;AJUSTES POR INFLACION;
1588;PROPIEDADES PLANTA Y EQUIPO EN TRANSITO;
158805;MAQUINARIA Y EQUIPO;
158810;EQUIPO DE OFICINA;
158815;EQUIPO DE COMPUTACION Y COMUNICACION;
158820;EQUIPO MEDICO CIENTIFICO;
158825;EQUIPO DE HOTELES Y RESTAURANTES;
158830;FLOTA Y EQUIPO DE TRANSPORTE;
158835;FLOTA Y EQUIPO FLUVIAL Y/O MARITIMO;
158840;FLOTA Y EQUIPO AEREO;
158845;FLOTA Y EQUIPO FERREO;
158850;PLANTAS Y REDES;
158855;ARMAMENTO DE VIGILANCIA;
158860;SEMOVIENTES;
158865;ENVASES Y EMPAQUES;
158899;AJUSTES POR INFLACION;
1592;DEPRECIACION ACUMULADA;
159205;CONSTRUCCIONES Y EDIFICACIONES;
159210;MAQUINARIA Y EQUIPO;
159215;EQUIPO DE OFICINA;
159220;EQUIPO DE COMPUTACION Y COMUNICACION;
159225;EQUIPO MEDICO CIENTIFICO;
159230;EQUIPO DE HOTELES Y RESTAURANTES;
159235;FLOTA Y EQUIPO DE TRANSPORTE;
159240;FLOTA Y EQUIPO FLUVIAL Y/O MARITIMO;
159245;FLOTA Y EQUIPO AEREO;
159250;FLOTA Y EQUIPO FERREO;
159255;ACUEDUCTOS PLANTAS Y REDES;
159260;ARMAMENTO DE VIGILANCIA;
159265;ENVASES Y EMPAQUES;
159299;AJUSTES POR INFLACION;
1596;DEPRECIACION DIFERIDA;
159605;EXCESO FISCAL SOBRE LA CONTABLE;
159610;DEFECTO FISCAL SOBRE LA CONTABLE (CR);
159699;AJUSTES POR INFLACION;
1597;AMORTIZACION ACUMULADA;
159705;PLANTACIONES AGRICOLAS Y FORESTALES;
159710;VIAS DE COMUNICACION;
159715;SEMOVIENTES;
159799;AJUSTES POR INFLACION;
1598;AGOTAMIENTO ACUMULADO;
159805;MINAS Y CANTERAS;
159815;POZOS ARTESIANOS;
159820;YACIMIENTOS;
159899;AJUSTES POR INFLACION;
1599;PROVISIONES;
159904;TERRENOS;
159906;MATERIALES PROYECTOS PETROLEROS;
159908;CONSTRUCCIONES EN CURSO;
159912;MAQUINARIA EN MONTAJE;
159916;CONSTRUCCIONES Y EDIFICACIONES;
159920;MAQUINARIA Y EQUIPO;
159924;EQUIPO DE OFICINA;
159928;EQUIPO DE COMPUTACION Y COMUNICACION;
159932;EQUIPO MEDICO CIENTIFICO;
159936;EQUIPO DE HOTELES Y RESTAURANTES;
159940;FLOTA Y EQUIPO DE TRANSPORTE;
