codimpuesto;descripcion;iva;recargo;codsubcuentarep;codsubcuentasop;operacion
"IVA0";"IVA 0%";"0";"0";;;"ES_01"
"IVA4";"IVA 4%";"4";"0.5";"4770000004";"4720000004";"ES_01"
"IVA10";"IVA 10%";"10";"1.4";"4770000010";"4720000010";"ES_01"
"IVA21";"IVA 21%";"21";"5.2";"4770000021";"4720000021";"ES_01"
"IGIC0";"IGIC 0%";"0";"0";;;"ES_03"
"IGIC3";"IGIC 3%";"3";"0";"4770000003";"4720000003";"ES_03"
"IGIC6.5";"IGIC 6.5%";"6.5";"0";"4770000006";"4720000006";"ES_03"
"IGIC7";"IGIC 7%";"7";"0";"4770000007";"4720000007";"ES_03"
"IGIC9.5";"IGIC 9.5%";"9.5";"0";"4770000009";"4720000009";"ES_03"
"IGIC13.5";"IGIC 13.5%";"13.5";"0";"4770000013";"4720000013";"ES_03"
"IGIC15";"IGIC 15%";"15";"0";"4770000015";"4720000015";"ES_03"
"IGIC20";"IGIC 20%";"20";"0";"4770000020";"4720000020";"ES_03"
"IPSI0";"IPSI 0%";"0";"0";;;"ES_04"
"IPSI0.5";"IPSI 0.5%";"0.5";"0";"4770000000";"4720000000";"ES_04"
"IPSI1";"IPSI 1%";"1";"0";"4770000001";"4720000001";"ES_04"
"IPSI2";"IPSI 2%";"2";"0";"4770000002";"4720000002";"ES_04"
"IPSI4";"IPSI 4%";"4";"0";"4770000004";"4720000004";"ES_04"
"IPSI10";"IPSI 10%";"10";"0";"4770000010";"4720000010";"ES_04"