codcuentaesp;descripcion
"IVAACR";"Erregularizazioko BEZ kontu hartzekodunak"
"IVAREP";"Sortutako BEZ kontuak"
"IVARUE";"Sortutako BEZ kontuak Europar Batasunekoak"
"IVARXP";"Sortutako BEZ kontuak esportazioak"
"IVAREX";"Salbuetsitako bezeroen sortutako BEZ kontuak"
"IVASOP";"Jasandako BEZ kontuak"
"IVASUE";"Jasandako BEZ kontuak Europar Batasunekoak"
"IVASIM";"Jasandako BEZ kontuak inportazioak"
"ACREED";"Hartzekodunen kontuak"
"CAJA";"Kutxa kontuak"
"CLIENT";"Bezeroen kontuak"
"COMPRA";"Erosketa kontuak"
"CAMNEG";"kanbio-diferentzia negatiboen kontuak"
"CAMPOS";"kanbio-diferentzia positiboen kontuak"
"PROVEE";"Hornitzaileen kontuak"
"IRPF";"PFEZ gaineko atxikipenen kontuak"
"IRPFPR";"Hornitzaileei PFEZ atxikipenen kontuak"
"VENTAS";"Salmenta kontuak"
"IVADEU";"Erregularizazioko BEZ kontu zordunak"
"EURNEG";"Bertako txanponera eginiko kanbio-diferentzia negatiboen kontuak"
"EURPOS";"Bertako txanponera eginiko kanbio-diferentzia positiboen kontuak"
"DIVPOS";"Diferentzia positiboen kontuak atzerriko txanponean"
"PREVIO";"Aurreko ekitaldietako kontuak"
"DEVCOM";"Erosketa itzulpenak"
"DEVVEN";"Salmenta itzulpenak"
"GTORF";"Finantza gainkarguagatik gastuak"
"GTOBAN";"Banku-gastuak"
"IVAEUE";"Batasun barruko entregen BEZ"
"INGRF";"Finantza gainkarguagatik sarrerak
"PYG";"Galera eta Irabaziak"